201001,49
201002,56
201003,13
201004,69
201005,18
201006,43
201007,65
201008,28
201009,2
201010,30
201011,60
201012,87
201101,9
201102,80
201103,30
201104,53
201105,80
201106,10
201107,9
201108,76
201109,96
201110,83
201111,4
201112,56
201201,85
201202,11
201203,72
201204,50
201205,81
201206,10
201207,43
201208,37
201209,77
201210,54
201211,64
201212,94
201301,41
201302,71
201303,9
201304,57
201305,47
201306,81
201307,20
201308,11
201309,12
201310,38
201311,1
201312,58
201401,44
201402,27
201403,95
201404,92
201405,56
201406,21
201407,85
201408,11
201409,32
201410,72
201411,63
201412,9
201501,44
201502,38
201503,85
201504,12
201505,85
201506,86
201507,18
201508,67
201509,54
201510,36
201511,34
201512,57
201601,66
201602,41
201603,89
201604,70
201605,41
201606,69
201607,97
201608,59
201609,44
201610,75
201611,79
201612,71
201701,27
201702,25
201703,16
201704,52
201705,32
201706,53
201707,82
201708,49
201709,77
201710,10
201711,87
201712,83
201801,60
201802,87
201803,51
201804,49
201805,39
201806,95
201807,19
201808,82
201809,65
201810,34
201811,60
201812,90
